Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,71.3,0,0,92.96,99.94512,1.264276,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.04090485,0,0.4101363,0,1500.257,70.85645,0.1692475,0,92.79735,99.94512,1.293714,648.975533208105,648.975533207016,0.00118883017267277,52.0985319000901,51.68346,0.00009525851,89.9999,89.9999,2.060072,0.000003822927
0.2,S,0.2,0.09827824,3.225562,0.4210853,0.4394923,1468.271,70.19189,1.002811,1.172166,92.6347,99.94512,1.323153,640.380761693082,640.3806,-0.4550717,116.111494122438,115.9272,-0.02384039,89.99697,90.01178,10.67377,-0.0006611912
0.3,S,0.3,0.1565535,2.025,0.3906101,0.2719185,1508.048,69.52666,2.3594,1.769669,92.47205,99.94512,1.352591,664.594985854452,664.5948,-0.497027,181.41019363686,181.2941,-0.07416939,89.97509,90.02344,25.84168,-0.005537489
0.3999999,S,0.3999999,0.2172496,1.406949,0.3755049,0.1882178,1570.652,68.84203,4.364878,2.3159,92.3094,99.94512,1.38203,699.844813709851,699.8448,-0.1385263,249.505308566968,249.4218,-0.108392,89.92451,90.0249,47.68769,-0.01497933
0.4999998,S,0.4999998,0.281331,0.9957491,0.3659836,0.1334233,1617.922,68.12741,7.127616,2.7204,92.14676,99.94512,1.411469,728.540723490016,728.5403,0.7855312,321.294888961311,321.2294,-0.07643609,89.8389,90.01363,76.55863,-0.02500409
0.5999997,S,0.5999997,0.3474984,0.6797667,0.3617264,0.09172343,1646.217,67.39677,10.73596,2.828429,91.98411,99.94512,1.440907,748.570456832695,748.5666,2.402958,395.301709487242,395.2458,0.08502985,89.71611,89.98767,112.736,-0.02593936
0.6999996,S,0.6999996,0.4153044,0.413686,0.3616963,0.05676036,1666.984,66.6554,15.31209,2.482891,91.82146,99.94512,1.470346,765.068157261066,765.0533,4.767957,471.070997983626,471.0188,0.4492913,89.56073,89.94535,156.4144,-0.001206944
0.7999995,S,0.7999995,0.4844751,0.1852695,0.362074,0.02670405,1680.506,65.9062,20.8254,1.580472,91.65881,99.94512,1.499784,778.042197319429,778.0034,7.769839,548.290569135949,548.2372,1.086674,89.38584,89.88643,207.7526,0.07308832
0.8999994,S,0.8999994,0.5548462,0.0001692029,0.3627304,0.002115797,1694.066,65.15105,27.31297,0.1634138,91.49616,99.94512,1.529223,790.933403897934,790.8551,11.12925,626.804344908582,626.7452,2.04731,89.21306,89.81284,266.8836,0.2270034
0.9999993,S,0.9999993,0.6264161,-0.1274872,0.3622203,-0.01523479,1706.471,64.38994,34.6907,-1.492817,91.33352,99.94512,1.558661,803.186470656982,803.0589,14.31467,706.597499830311,706.5281,3.339853,89.06948,89.72916,333.936,0.4937414
1.099999,S,1.099999,0.6989312,-0.1849605,0.3618592,-0.02362262,1710.147,63.62521,43.04116,-2.868561,91.17087,99.94512,1.5881,810.874180817394,810.7045,16.58767,787.339842391156,787.2563,4.906119,88.98037,89.64294,409.0226,0.9042055
1.199999,S,1.199999,0.772184,-0.1710553,0.361446,-0.02268976,1713.863,62.85899,52.33671,-3.348206,91.00822,99.94512,1.617539,818.297027479783,818.1114,17.42878,868.835991921806,868.7359,6.624545,88.95924,89.5631,492.2234,1.480109
1.299999,S,1.299999,0.846172,-0.1033866,0.360996,-0.01445244,1719.963,62.09122,62.58497,-2.549714,90.84557,99.94512,1.646977,826.655443900624,826.4871,16.68222,951.086840910562,950.9701,8.338059,88.99889,89.49765,583.613,2.228923
1.399999,S,1.399999,0.9211009,-0.01727865,0.3715956,-0.003381711,1730.654,61.31977,76.09312,-0.7038171,90.68292,100.7288,1.818266,835.969783034721,835.8381,14.83741,1034.31320074116,1034.182,9.91065,89.07011,89.45094,683.2787,3.142921
1.499999,S,1.499999,0.9965929,0.04510824,0.4417945,0.005889755,1738.863,60.54375,105.5372,1.428238,90.52028,103.5158,2.352124,835.804135382959,835.7065,12.77492,1117.98235792246,1117.84,11.27739,89.13075,89.42199,791.2977,4.204019
1.599999,S,1.599999,1.071453,0.04262054,0.4891858,0.007011068,1716.996,59.76936,134.5668,1.955231,90.35763,105.5011,2.740893,819.651269666181,819.5613,12.14411,1200.69031021885,1200.539,12.49802,89.133,89.40356,907.6432,5.393215
1.699999,S,1.699999,1.144881,-0.008041422,0.4836087,-0.0005086726,1672.841,59.0083,151.2797,-0.1611187,90.19498,105.6431,2.796042,797.456377466034,797.3381,13.7342,1281.64067565342,1281.479,13.79346,89.08187,89.38331,1032.164,6.70633
1.799999,S,1.799999,1.215871,-0.02517048,0.4719253,-0.004148785,1619.658,58.27186,165.7843,-1.474101,90.03233,105.6797,2.832103,770.574319670827,770.4377,14.50974,1359.72360079662,1359.549,15.2264,89.05663,89.35834,1164.623,8.156673
1.899999,S,1.899999,1.284464,0.003711696,0.4593175,0.00009167565,1556.292,57.55997,179.253,0.0361479,89.86968,105.7881,2.881167,737.548361508252,737.4364,12.85074,1434.96993892631,1434.783,16.59858,89.07887,89.3372,1304.743,9.749401
1.999998,S,1.999998,1.350256,0.01457153,0.4477024,0.002505383,1500.672,56.87603,192.1473,1.085449,89.70704,105.8119,2.914911,708.042982936276,707.9479,11.6033,1507.02690636692,1506.83,17.79757,89.08836,89.3233,1452.208,11.47017
2.099998,S,2.099998,1.413647,-0.004054467,0.4370801,-0.000382624,1449.809,56.21587,204.574,-0.1806423,89.54439,105.8017,2.942498,680.517234182227,680.4084,12.17026,1576.3230036861,1576.116,18.98217,89.06739,89.30998,1606.724,13.30861
2.199998,S,2.199998,1.47484,-0.00556802,0.4272525,-0.001075556,1414.054,55.57738,216.5065,-0.5494413,89.38174,105.4829,2.914245,661.100044146882,660.9874,12.2035,1643.14617713084,1642.928,20.21264,89.06073,89.29514,1768.025,15.26836
2.299998,S,2.299998,1.534738,0.005430241,0.4180113,0.0007898081,1387.57,54.95238,228.1068,0.434276,89.21909,105.1931,2.891232,646.683440531669,646.5848,11.29463,1708.46556681831,1708.237,21.38218,89.0682,89.28286,1935.922,17.34889
2.399998,S,2.399998,1.593432,0.001419064,0.4093067,0.0003661353,1361.113,54.33959,239.3755,0.2156628,89.05644,104.9209,2.871396,632.002443667207,631.9022,11.25604,1772.32831735445,1772.09,22.50045,89.06181,89.27254,2110.27,19.54299
2.499998,S,2.499998,1.6509,-0.002655052,0.4011114,-0.0004508309,1333.539,53.73905,250.2942,-0.2832191,88.89379,104.6578,2.853211,616.380757984242,616.275,11.41767,1834.70363990193,1834.455,23.64108,89.05405,89.26166,2290.922,21.84994
2.599998,S,2.599998,1.706745,0.001784836,0.3934506,0.0002253748,1294.44,53.15353,260.7663,0.1503111,88.73115,104.412,2.838158,593.517593503748,593.4198,10.7738,1895.08671599764,1894.828,24.74991,89.05502,89.25166,2477.706,24.27006
2.699998,S,2.699998,1.757834,0.001184965,0.3866985,0.0002413529,1142.9,52.60635,270.1064,0.1694545,88.5685,104.19,2.82743,501.631624856349,501.5458,9.278877,1949.39766929541,1949.13,25.74029,89.05169,89.24339,2670.251,26.79577
2.799998,S,2.799998,1.800657,-0.0008058184,0.3812241,-0.0001313699,991.3759,52.12725,277.5526,-0.09603758,88.40585,104.0086,2.824031,408.419490476673,408.342,7.955579,1994.44369960593,1994.168,26.59789,89.04651,89.23584,2867.719,29.41377
2.899998,S,2.899998,1.835085,0.0009099469,0.3769436,0.0001191079,839.8655,51.71648,283.0834,0.08972725,88.2432,103.8641,2.827311,314.219847295638,314.157,6.284249,2030.112497173,2029.83,27.30303,89.04506,89.22936,3069.175,32.11022
2.999998,S,2.999998,1.863034,0.0006692602,0.3735467,0.0001267909,788.3959,51.36009,287.1262,0.09772505,88.08055,103.7479,2.835714,281.848432083513,281.7896,5.758472,2059.16725760178,2058.879,27.8905,89.04196,89.22389,3273.773,34.87017
3.099998,S,3.099998,1.888143,-0.00008257643,0.3705541,-0.00001663262,704.3186,51.02647,290.4779,-0.01306699,87.91791,103.6455,2.846622,228.775574185198,228.7217,4.964604,2084.81770143832,2084.524,28.43024,89.03817,89.21861,3481.12,37.68696
